Date,Year,Month,Day,Day of Week,Quarter,Week of Year,Is Weekend
2020-09-22,2020,9,22,Tuesday,3,39,False
2020-09-23,2020,9,23,Wednesday,3,39,False
2020-09-24,2020,9,24,Thursday,3,39,False
2020-09-25,2020,9,25,Friday,3,39,False
2020-09-26,2020,9,26,Saturday,3,39,True
2020-09-27,2020,9,27,Sunday,3,39,True
2020-09-28,2020,9,28,Monday,3,40,False
2020-09-29,2020,9,29,Tuesday,3,40,False
2020-09-30,2020,9,30,Wednesday,3,40,False
2020-10-01,2020,10,1,Thursday,4,40,False
2020-10-02,2020,10,2,Friday,4,40,False
2020-10-03,2020,10,3,Saturday,4,40,True
2020-10-04,2020,10,4,Sunday,4,40,True
2020-10-05,2020,10,5,Monday,4,41,False
2020-10-06,2020,10,6,Tuesday,4,41,False
2020-10-07,2020,10,7,Wednesday,4,41,False
2020-10-08,2020,10,8,Thursday,4,41,False
2020-10-09,2020,10,9,Friday,4,41,False
2020-10-10,2020,10,10,Saturday,4,41,True
2020-10-11,2020,10,11,Sunday,4,41,True
2020-10-12,2020,10,12,Monday,4,42,False
2020-10-13,2020,10,13,Tuesday,4,42,False
2020-10-14,2020,10,14,Wednesday,4,42,False
2020-10-15,2020,10,15,Thursday,4,42,False
2020-10-16,2020,10,16,Friday,4,42,False
2020-10-17,2020,10,17,Saturday,4,42,True
2020-10-18,2020,10,18,Sunday,4,42,True
2020-10-19,2020,10,19,Monday,4,43,False
2020-10-20,2020,10,20,Tuesday,4,43,False
2020-10-21,2020,10,21,Wednesday,4,43,False
2020-10-22,2020,10,22,Thursday,4,43,False
2020-10-23,2020,10,23,Friday,4,43,False
2020-10-24,2020,10,24,Saturday,4,43,True
2020-10-25,2020,10,25,Sunday,4,43,True
2020-10-26,2020,10,26,Monday,4,44,False
2020-10-27,2020,10,27,Tuesday,4,44,False
2020-10-28,2020,10,28,Wednesday,4,44,False
2020-10-29,2020,10,29,Thursday,4,44,False
2020-10-30,2020,10,30,Friday,4,44,False
2020-10-31,2020,10,31,Saturday,4,44,True
2020-11-01,2020,11,1,Sunday,4,44,True
2020-11-02,2020,11,2,Monday,4,45,False
2020-11-03,2020,11,3,Tuesday,4,45,False
2020-11-04,2020,11,4,Wednesday,4,45,False
2020-11-05,2020,11,5,Thursday,4,45,False
2020-11-06,2020,11,6,Friday,4,45,False
2020-11-07,2020,11,7,Saturday,4,45,True
2020-11-08,2020,11,8,Sunday,4,45,True
2020-11-09,2020,11,9,Monday,4,46,False
2020-11-10,2020,11,10,Tuesday,4,46,False
2020-11-11,2020,11,11,Wednesday,4,46,False
2020-11-12,2020,11,12,Thursday,4,46,False
2020-11-13,2020,11,13,Friday,4,46,False
2020-11-14,2020,11,14,Saturday,4,46,True
2020-11-15,2020,11,15,Sunday,4,46,True
2020-11-16,2020,11,16,Monday,4,47,False
2020-11-17,2020,11,17,Tuesday,4,47,False
2020-11-18,2020,11,18,Wednesday,4,47,False
2020-11-19,2020,11,19,Thursday,4,47,False
2020-11-20,2020,11,20,Friday,4,47,False
2020-11-21,2020,11,21,Saturday,4,47,True
2020-11-22,2020,11,22,Sunday,4,47,True
2020-11-23,2020,11,23,Monday,4,48,False
2020-11-24,2020,11,24,Tuesday,4,48,False
2020-11-25,2020,11,25,Wednesday,4,48,False
2020-11-26,2020,11,26,Thursday,4,48,False
2020-11-27,2020,11,27,Friday,4,48,False
2020-11-28,2020,11,28,Saturday,4,48,True
2020-11-29,2020,11,29,Sunday,4,48,True
2020-11-30,2020,11,30,Monday,4,49,False
2020-12-01,2020,12,1,Tuesday,4,49,False
2020-12-02,2020,12,2,Wednesday,4,49,False
2020-12-03,2020,12,3,Thursday,4,49,False
2020-12-04,2020,12,4,Friday,4,49,False
2020-12-05,2020,12,5,Saturday,4,49,True
2020-12-06,2020,12,6,Sunday,4,49,True
2020-12-07,2020,12,7,Monday,4,50,False
2020-12-08,2020,12,8,Tuesday,4,50,False
2020-12-09,2020,12,9,Wednesday,4,50,False
2020-12-10,2020,12,10,Thursday,4,50,False
2020-12-11,2020,12,11,Friday,4,50,False
2020-12-12,2020,12,12,Saturday,4,50,True
2020-12-13,2020,12,13,Sunday,4,50,True
2020-12-14,2020,12,14,Monday,4,51,False
2020-12-15,2020,12,15,Tuesday,4,51,False
2020-12-16,2020,12,16,Wednesday,4,51,False
2020-12-17,2020,12,17,Thursday,4,51,False
2020-12-18,2020,12,18,Friday,4,51,False
2020-12-19,2020,12,19,Saturday,4,51,True
2020-12-20,2020,12,20,Sunday,4,51,True
2020-12-21,2020,12,21,Monday,4,52,False
2020-12-22,2020,12,22,Tuesday,4,52,False
2020-12-23,2020,12,23,Wednesday,4,52,False
2020-12-24,2020,12,24,Thursday,4,52,False
2020-12-25,2020,12,25,Friday,4,52,False
2020-12-26,2020,12,26,Saturday,4,52,True
